root	deva	gana	voice	voice_attested	aupadeshika_guess	artha_guess	mw_meaning	attested	note	mw_id
kzviq	क्ष्विड्	1	Ā.	P. Ā.	kzviqa~\	ArdrIBAve	to be wet or unctuous, exude, emit sap, cl. 4. P. id.	kzveqate|kzvedate|kzvidyati	voice cp=Ā. vs attested=P. Ā.	60652
lakz	लक्ष्	1	P. Ā.	P. Ā.	lakza~^	jYAne	to perceive, observe	°ti|lakza|lakzayati|°te|alalakzat		180331
lamb	लम्ब्	1	Ā.	P. Ā.	lamba~\		to hang down, depend, dangle, hang from or on (loc.), ; &c.	lambayati|alalambat|laNGayitvA|lambayitvA|lilambizate	voice cp=Ā. vs attested=P. Ā.	181488
lamb	लम्ब्	1	Ā.	Ā.	lamba~\	Sabde	(cf. √ ) cl. 1. Ā. , to sound	ramb|lambate		181580
lamB	लम्भ्	1	Ā.	Ā.	lamBa~\	Sabde	(cf. √ ) cl. 1. Ā. , to sound, ()	ramB|lamBate		181581
laNg	लङ्ग्	1	P.		laNga~	gatO	to go	vi-lagita		181106
laNG	लङ्घ्	1	P. Ā.	P. Ā.	laNGa~^	gatO	to leap over, go beyond (Ā.)	laNGayati|°te|laNGyate|lilaNGayizati		181121
lay	लय्	1	Ā.	Ā.	laya~\	gatO	(cf. √ ) cl. 1. Ā. , to go, ()	ray|layate		181583
lAYC	लाञ्छ्	1	P.	P.	lAYCa~		to mark, distinguish, characterize	lAYCayati		182184
laYj	लञ्ज्	1	P.	P.	laYja~		(cf. √ ) cl. 1. P. , ‘to fry’ or ‘to blame’ ( v.l. )	laj|laYjati|Bartsane|Barjane		181192
lAYj	लाञ्ज्	1	P.	P.	lAYja~		= √	lAYjati|lAj		182191
lER	लैण्	1	P.		lERa~	gatO	to go	pER		183225
lI	ली	1	P.	P. Ā.	lI		to adhere, obtain (not usually found)	layati|lIyate|lAyate|lilye|lilyuH	voice cp=P. vs attested=P. Ā.	182753
liNg	लिङ्ग्	1	P.	P.	liNga~	gatO	to go	liNgayati|citrI-karaRe		182476
liNK	लिङ्ख्	1	P.	P.	liNKa~	gatO	(cf. √ , ) cl. 1. P. , to go, move	laK|laNK|liNKati		182475
lip	लिप्	1	P. Ā.	P. Ā.	lipi~^		to smear, besmear, anoint with (instr.), stain, soil, taint, pollute, defile, &c	lipyate|°ti|alepi|lepayati|alIlipat	attested has nasal → i~ (idit)	182615
low	लोट्	1	P.	P.	lowa~	unmAde	or , to be mad or foolish	lowati|loqati		183604
luh	लुह्	1	P.	P.	luha~		(cf. √ ) cl. 1. P. , to covet, ()	luB|lohati		183124
lul	लुल्	1	P. Ā.	P.	lula~^	gatO	to move to and fro, roll about, stir	lolayati	voice cp=P. Ā. vs attested=P.	183058
lumb	लुम्ब्	1	P.	P.	lumba~		to torment, harass	lumbayati|adarSane|ardane		183054
lunT	लुन्थ्	1	P.	P.	lunTa~	hiMsAyAm	(cf. √ ) cl. 1. P. , to strike, hurt, cause or suffer pain	luW|lunTati		182955
luRw	लुण्ट्	1	P.	P.	luRwa~	steye	to rob, plunder	luRwayati		182926
luz	लुष्	1	P.	P.	luza~	steye	(cf. √ ) cl. 1. P. , to rob, steal	lUs|lozati		183120
makk	मक्क्	1	Ā.	Ā.	makka~\	gatO	(cf. √ ), cl. 1. Ā. , to go, move,;	mask|makkate		154009
mamb	मम्ब्	1	P.	P.	mamba~	gatO	to go, move, ()	mambati		157977
maMh	मंह्	1	Ā.	P. Ā.	maMha~\	dAne	to give, grant, bestow (with , ‘as a present’)	maMhayati|mAmahe|mah	voice cp=Ā. vs attested=P. Ā.	153892
mand	मन्द्	1	P. Ā.	P.	manda~^	made	to rejoice, be glad or delighted, be drunk or intoxicated (lit. and fig.)	mandayati|mandayaDyE	voice cp=P. Ā. vs attested=P.	157643
maNg	मङ्ग्	1	Ā.	Ā.	maNga~\	gatO	(cf. √ ) cl. 1. Ā. , to go, move	maNk|maNgate		154139
maNG	मङ्घ्	1	P. Ā.	Ā.	maNGa~^		to adorn, decorate	maNGate	voice cp=P. Ā. vs attested=Ā.	154336
maNk	मङ्क्	1	Ā.	Ā.	maNka~\	gatO	(cf. √ ) cl. 1. Ā. , to move or to adorn, (only pf. , explained by ,]; Gr. also 	maNg|maNkate|mamaNkire|SuSuBire|mamaNgire		154117
maNK	मङ्ख्	1	P.	P.	maNKa~	gatO	(cf. √ ) cl. 1. P. , to go, move	maK|maNKati		154130
mANkz	माङ्क्ष्	1	P.	P.	mANkza~		to wish, long for, desire	mANkzati		162008
mAnT	मान्थ्	1	P.	P.	mAnTa~	hiMsAyAm	= √ , or , to hurt, injure, ()	mAnTati|manT|maT		163014
mAq	माड्	1	P. Ā.	P.	mAqa~^	mAne	P. , , to measure, weigh, (v.l. for ).	mAqati|°te|mAh	voice cp=P. Ā. vs attested=P.	162069
mArg	मार्ग्	1		P.	mArga~	darSane	to seek, look for	mArgayati		163363
marj	मर्ज्	1		P.	marja~	Sabde	(cf. √ ) cl. 1. 6. P. , , to sound,; (v.l. for , ).	mfj|marjati|mfYjati|muj|muYj		158462
maRq	मण्ड्	1	P. Ā.	P. Ā.	maRqa~^		to deck, adorn	maRqate|maRqayati|°te		154854
maRW	मण्ठ्	1	Ā.	Ā.	maRWa~\		to long for, desire eagerly	maRWate		154850
maYc	मञ्च्	1	Ā.		maYca~\		to cheat &c. v.l.			154395
mf	मृ	1	P. Ā.	P. Ā.	mf^		to die, decease, &c. &c.	mriyate|mamre|amAri|mArayati|°te		166607
mfd	मृद्	1	P. Ā.	P. Ā.	mfda~^	hiMsAyAm	to press, squeeze, crush, pound, smash, trample down, tread upon, destroy, waste	mardayati|°te|amImridat|amamardat|mimardizati		167219
mfj	मृज्	1	P. Ā.	P. Ā.	mfja~^		to wipe, rub, cleanse, polish, clean, purify, embellish, adorn (Ā. also ‘one's s	mArzwi|marjayati|°te|mArjayati|°te		167121
mI	मी	1			mI	gatO	to go, move			164610
mind	मिन्द्	1	Ā.	P.	minda~\	vfdDO	to grow fat	mindayati|medayati|mitra	voice cp=Ā. vs attested=P.	164438.1
mokz	मोक्ष्	1	Ā.	P.	mokza~\		to wish to free one's self, seek deliverance, (cf. )	mokza|mokzayati|°te|mokzayaDvam|mokzayizyati	voice cp=Ā. vs attested=P.	168318
muC	मुछ्	1	P.	P.	muCa~		v.l. for √	mucCati|yuC		165300
mUrC	मूर्छ्	1	P.	P.	mUrCa~	vfdDO	to become solid, thicken, congeal, assume shape or substance or consistency, exp	mUrCayati|°te		165763.1
muRq	मुण्ड्	1	P. Ā.	P.	muRqa~^	Cedane	to serve as the supposed source of the words below) cl. 1. P. to cut ( = )	muw|mArjane|magne|muRqane|muRqayati	voice cp=P. Ā. vs attested=P.	165362
muRw	मुण्ट्	1	P.	P.	muRwa~		to crush, grind, (v.l. for ).	muRwati|muw		165360
muRW	मुण्ठ्	1	Ā.	Ā.	muRWa~\	rakzaRe	‘to run away’ or ‘to protect’ ( v.l. )	muRWate|palAyane|pAlane		165361
muYc	मुञ्च्	1	P. Ā.	Ā.	muYca~^	gatO	to go, move, ()	muYcate|mac|muc	voice cp=P. Ā. vs attested=Ā.	165302
muYj	मुञ्ज्	1	P.	P.	muYja~	Sabde	to give out a partic. sound	mojayati|muYjayati|muj		165301.1
myakz	म्यक्ष्	1	P.		myakza~		to be fixed or situated in (loc.), rest firmly	apa-|A-|ni-|sam-√ myakz		168872
namb	नम्ब्	1	P.	P.	namba~	gatO	to go, in	nambati		103916
naMS	नंश्	1	P. Ā.	P.	naMSa~^	vyAptO	P. , (aor. , ; , Impv. ; Ā. 1. sg. Prec. ; inf. ), to reach, attain, meet with, 	naSati|°te|Anat|-naw|-anazwAm	voice cp=P. Ā. vs attested=P.	104757.1
nand	नन्द्	1	P.	P. Ā.	nanda~	prIRane	to rejoice, delight, to be pleased or satisfied with, be glad of (instr., rarely	nandyate|nandayati|°te|ananandat|ninandizati	voice cp=P. vs attested=P. Ā.	103420
naNK	नङ्ख्	1	P.	P.	naNKa~	gatO	and , to go, move,;	naKyati|naKati|naNKati|naK		102937.1
naS	नश्	1	P. Ā.	P.	naSa~^	vyAptO	P. , (aor. , ; , Impv. ; Ā. 1. sg. Prec. ; inf. ), to reach, attain, meet with, 	naSati|°te|Anat|-naw|-anazwAm	voice cp=P. Ā. vs attested=P.	104757
naS	नश्	1	P.	P. Ā.	naSa~	kzaye	to be lost, perish, disappear, be gone, run away, &c. &c.	nASayati|°te|-anInaSat|-nASayaDyE|mA nInaSah	voice cp=P. vs attested=P. Ā.	104760
oj	ओज्	1			oja~		to be strong or able			40621
olaRq	ओलण्ड्	1		P.	olaRqa~	kzepe	or , , to throw out, eject, (cf. .)	olaRqati|olaRqayati|olaRqAM-|olaRqayAm-baBUva|OlaRqIt		40721
pad	पद्	1	P.	P.	pada~		v.l. for , to stand fast or fixed,;	padati|bad		115169
pall	पल्ल्	1		P.	palla~	gatO	to go, move,; (invented after √ , prob. to explain the following words).	pallati|pal		120272
pamb	पम्ब्	1	P.	P.	pamba~	gatO	to go, move,;	pambati		115889
paMs	पंस्	1		P.	paMsa~	Bedane	or , or , to destroy,Add	paMSati|°sati|paMSayati|°sayati		113051.1
paMS	पंश्	1		P.	paMSa~	Bedane	or , or , to destroy,Add	paMSati|°sati|paMSayati|°sayati		113051
panT	पन्थ्	1		P.	panTa~	gatO	or , to go, move, (cf. √ ).	panTati|°Tayati|paT		115861
paRq	पण्ड्	1	Ā.	P.	paRqa~\	gatO	to serve as the root of the words below) cl. 1. Ā. , to go, move	paRqayati|piRq|paRqati|°qayati|paMs	voice cp=Ā. vs attested=P.	114650
Parv	फर्व्	1	P.	P.	Parva~	gatO	to go, on	Parvati		141716
pas	पस्	1	P. Ā.	P.	pasa~^	banDane	to bind (v.l. for , ).	pAsayati|paS	voice cp=P. Ā. vs attested=P.	120780
pav	पव्	1	Ā.	Ā.	pava~\	gatO	to go, (v.l. for ).	pavate|plav		120348
pAy	पाय्	1	Ā.	Ā.	pAya~\		to void excrement	pAyayate		122352
paYc	पञ्च्	1	P. Ā.	P.	paYca~^	karaRe	to spread out, make clear or evident	-paYcayati|pra-paYcaya	voice cp=P. Ā. vs attested=P.	113411.1
paz	पष्	1	P. Ā.	P.	paza~^	gatO	to bind, to hinder, to touch, to go	pazayati|pAzayati|paS	voice cp=P. Ā. vs attested=P.	120776
peR	पेण्	1	P.		peRa~	gatO	to go	pER|prER|lER		128942
pfc	पृच्	1	P.		pfca~	saNGAte	to mix, mingle, put together with (instr., rarely loc.; , ‘to fix the arrow upon	DanuzA Saram|pF|pfj		128314
pi	पि	1	Ā.		pi\	vfdDO	to swell, overflow, be exuberant, abound, increase, grow			124606.1
pI	पी	1	Ā.		pI\	vfdDO	to swell, overflow, be exuberant, abound, increase, grow			124606
piMs	पिंस्	1			piMsa~	BAzAyAm	to speak			123451
pinv	पिन्व्	1	P. Ā.	P. Ā.	pinva~^	sTOlye	to cause to swell, distend	pinvate|pinvayati|pinvati		124299
piRq	पिण्ड्	1	Ā.		piRqa~\	saNGAte	to roll into a lump or ball, put together, join, unite, gather, assemble			123762
pIy	पीय्	1	P.		pIya~		to blame, abuse, revile, scoff, deride			124968
plab	प्लब्	1	Ā.	Ā.	plaba~\	gatO	to go, (v.l.), and (cf. √ ).	plabate|plavate|plu		141439
plav	प्लव्	1	Ā.	Ā.	plava~\	gatO	to go, (v.l.), and (cf. √ ).	plabate|plavate|plu		141439.1
poYC	पोञ्छ्	1	Ā.	Ā.	poYCa~\		to clean (shoes), (prob. for , q.v.)	poYCate|proYC		129236
prED	प्रैध्	1	Ā.	Ā.	prEDa~\		() cl. 1. Ā. ,, Sch.	pra-√ eD|prEDate		141139
pruT	प्रुथ्	1	P. Ā.	P.	pruTa~^		to pant, neigh, snort (as a horse)	proTayati|popruTat|proT	voice cp=P. Ā. vs attested=P.	140858
puC	पुछ्	1	P.	P.	puCa~		to be careless, (v.l. for , ).	pucCati|yuC|muC		125170
pUj	पूज्	1	P.		pUja~	pUjAyAm	to honour, worship, revere, respect, regard, ; ; &c.			127377
punT	पुन्थ्	1	P.	P.	punTa~	dAne	to give or suffer pain, (v.l. ).	punTati|yunT		125854
puRq	पुण्ड्	1	P.	P.	puRqa~		to rub, grind, reduce to powder, (v.l. for ).	puRqati|muw		125254
puw	पुट्	1	P.	P.	puwa~	vezwane	to clasp, fold, envelop in (instr.)	powati|muw|puwayati|powayati|BAzArTe		125192
qam	डम्	1	P.		qama~	Sabde	(p. ) to sound (as a drum)	°mat		81340
raj	रज्	1		P. Ā.	raji~^	darSane	See √ .	raYj|rajati|°te|rajayati|raYjayati	attested has nasal → i~ (idit)	173300
ramb	रम्ब्	1	Ā.	Ā.	ramba~\		(cf. √ ) cl. 1. Ā. , to hang down	lamb|rambate		175239
ramb	रम्ब्	1	P. Ā.	P.	ramba~^	Sabde	to sound	rambati|raRv	voice cp=P. Ā. vs attested=P.	175240
ramB	रम्भ्	1	Ā.	Ā.	ramBa~\	Sabde	(cf. √ ) cl. 1. Ā. , to sound, roar, (only p. ,)	ramb|ramBate|ramBamARa		175244
raMh	रंह्	1	P. Ā.	P. Ā.	raMha~^		cf. √ and , cl. 1. P. () ( also Ā. , ; pf. , ; fut. , ; aor. Gr.)	laNG|raGu|laGu|raMhati|raMhate		173028
ramP	रम्फ्	1	P.	P.	ramPa~	gatO	(cf. √ and ) cl. 1. P. , to go, (accord. to also ‘to kill’).	fP|raP|ramPati		175238
raNg	रङ्ग्	1	P.	P.	raNga~	gatO	() , to move to and fro, rock	raNgati		173261
raNG	रङ्घ्	1	Ā.		raNGa~\		to hasten, run			173263
raNK	रङ्ख्	1	P.	P.	raNKa~	gatO	(cf. √ ) cl. 1. P. , to go, move	raK|raNKati		173260
rarP	रर्फ्	1	P.	P.	rarPa~	gatO	(cf. √ ), cl. 1. P. , to go, (v.l.)	raP|rarPati		175297
raRv	रण्व्	1	P.	P.	raRva~	gatO	(cf. , , ) cl. 1. P. , to go	ramb|riRv|rimb|raRvati		174222
rej	रेज्	1	P. Ā.	P.	reja~^	gatO	to go	rAj|rejayati	voice cp=P. Ā. vs attested=P.	179363
reL	रेल्	1	Ā.	P. Ā.	reLa~\		to be angry (= ), (only in = ,, Sch.)	reLate|kruDyati|a-reqat|anAdaram akurvat	voice cp=Ā. vs attested=P. Ā.	179371.1
req	रेड्	1	Ā.	P. Ā.	reqa~\		to be angry (= ), (only in = ,, Sch.)	reLate|kruDyati|a-reqat|anAdaram akurvat	voice cp=Ā. vs attested=P. Ā.	179371
riB	रिभ्	1	P. Ā.		riBa~^		to Ā. ; pf. , ; aor. Gr.; fut. , , )			178103
ric	रिच्	1	P.	P. Ā.	rica~		(cf. Pass.) (ep. also ; pf. , , &c. &c.: , , ; p. , , ; aor. , ; , ; ; , ; fut. 	ricyate|°ti|rireca|ririce|riricyAm	voice cp=P. vs attested=P. Ā.	177975
rij	रिज्	1	Ā.	Ā.	rija~\	SozaRe	(cf. √ ) cl. 1. Ā. , to fry, parch,;	riYj|rejate		178029
riNg	रिङ्ग्	1	P.	P.	riNga~	gatO	to move, creep, crawl, advance with difficulty or slowly	riNgayati		177968
riNK	रिङ्ख्	1	P.		riNKa~	gatO	to go, move, crawl (said of young children)			177954
riRv	रिण्व्	1	P.	P.	riRva~	gatO	to go, (v.l. ).	riRvati|rimb		178034
rIv	रीव्	1	P. Ā.		rIva~^	grahaRe	to take	cIv		178212
rOw	रौट्	1	P.	P.	rOwa~	anAdare	(cf. √ ) cl. 1. P. , , to despise, treat with disrespect	roq|rOwati|rOqati		180194
ruD	रुध्	1	P.	P.	ruDa~	vfdDO	(cf. √ , of which this seems to be only another form) cl. 1. P. , to sprout, sho	ruh|roDati|roDati|viroDat|ruDat		178751
ruMS	रुंश्	1		P.	ruMSa~	BAzAyAm	to speak	ruMSati|ruMSayati		178234
ruRw	रुण्ट्	1	P.	P.	ruRwa~	steye	(v.l. ) cl. 1. P. , to steal, rob, (v.l. ).	ruRq|ruRwati|ruRq		178492
ruRW	रुण्ठ्	1	P.		ruRWa~	gatO	to go			178493
sac	सच्	1	P. Ā.	P.	saca~^	karaRe	to be associated or united with, have to do with, be familiar with, associate on	sizakti|saScati|saScata	voice cp=P. Ā. vs attested=P.	228852
sad	सद्	1		P. Ā.	sada~^		to sit down (esp. at a sacrifice), sit upon or in or at (acc. or loc.)	sadyate|asAdi|sAdi|sAdayati|°te		230505
sAD	साध्	1	P. Ā.	P. Ā.	sADa~^		accord. to and , cl. 4. , cl. 5. (in also ; pf. ; aor. ; fut. , ; inf. , in late	sADyati|sADnoti|saDnoti|sasADa|asAtsIt		241500
sag	सग्	1		P.	saga~	saMvaraRe	(cf. √ ) cl. 1. , to cover	sTag|sagati		227853
sah	सह्	1	Ā.	P. Ā.	saha~\		to prevail, be victorious	kalam|kala-kzepam|sAhayati|asIzahat|sisAhayizati	voice cp=Ā. vs attested=P. Ā.	239967
saj	सज्	1	P. Ā.	P. Ā.	saji~^	darSane	See √ , p. 1132, col. 3.	saYj|sajyate|sajjate|°ti|saYjayati	attested has nasal → i~ (idit)	229005
sajj	सज्ज्	1	P.	P.	sajja~	gatO	to go, move	saYjati|sajjati		229217.1
sakz	सक्ष्	1	P.	P.	sakza~	gatO	to go, (only in pr. p.], which accord. to = ; others derive it fr. √ , or ).	sakzati|sakzat|saM-BajamAna|sac|sah		227845
sAkz	साक्ष्	1	P.	P. Ā.	sAkza~		= (used in explaining fr. )	sAkzati|Apnoti|pra-sAkzate|pra-√ sah	voice cp=P. vs attested=P. Ā.	241011
sal	सल्	1	P.	P.	sala~	gatO	(for , a form of √ ) cl. 1. P. , to go, move	sar|sf|salati		239282
SAl	शाल्	1	Ā.	Ā.	SAla~\	dIptO	to shine, be distinguished for or endowed with (instr.), ; , Sch.	SAlate|SAlayate		215926
sam	सम्	1	P.	P.	sama~		to be disturbed	samayati|stamayati		232986
Samb	शम्ब्	1	P.	P.	Samba~	gatO	to go, ()	Sambayati		213262
saMSyE	संश्यै	1	P. Ā.		saMSyE^		Ā , , only in the forms below.	-SyAyati|°te		226665
saMvah	संवह्	1	P. Ā.	Ā.	saMvaha~^	grahaRe	to bear or carry together or along or away, take, convey, bring, &c.	saM-vavAhatuH|saM-√ vAh|-samuhyate|-vAhayati|°te	voice cp=P. Ā. vs attested=Ā.	226125
saMvap	संवप्	1	P. Ā.		saMvapa~^	secane	to throw together, mix, pour in			226077
saMyas	संयस्	1	P.	P.	saMyasa~	karaRe	to make effort &c.	-yasyati|-yasati		225697
san	सन्	1	P.	P. Ā.	sana~	AsvAdane	to gain, acquire, obtain as a gift, possess, enjoy	sanyate|sAyate|sAnayati|asIzaRat|sisAnayizati	voice cp=P. vs attested=P. Ā.	231023
SaNk	शङ्क्	1	P. Ā.	P. Ā.	SaNka~^	Baye	to be anxious or apprehensive, be afraid of (abl.), fear, dread, suspect, distru	SaNke|SaNkyate|aSaNki|SaNkayati		211426
sap	सप्	1	P. Ā.	P.	sapa~^	pUjAyAm	to follow or seek after, be devoted to, honour, serve, love, caress (also sexual	sApayati|sIzapanta	voice cp=P. Ā. vs attested=P.	232210
sarb	सर्ब्	1	P.	P.	sarba~	gatO	(also written ) cl. 1. P. , to go, move	samb|sarbati		238104
sarj	सर्ज्	1	P.	P.	sarja~		to rattle, creak	sarjati		237906
sarj	सर्ज्	1	P.	P.	sarja~		(cf. √ ) cl. 1. P. , to earn by labour, acquire, gain	arj|sarjati		237907
SaRq	शण्ड्	1	Ā.	Ā.	SaRqa~\	hiMsAyAm	‘to hurt’ or ‘to collect’ ()	SaRqate|rujAyAM saMGAte ca		211801
saw	सट्	1	P.	P.	sawa~		to be a part of	sAwayati|sAw		229447
say	सय्	1	Ā.	Ā.	saya~\	gatO	to go	sayate		237404
SaYc	शञ्च्	1	Ā.	Ā.	SaYca~\	gatO	to go	SaNcate		211725
saYj	सञ्ज्	1	P.	P.	saYja~	gatO	to go, move	saYjati|sajjati		229217
saYj	सञ्ज्	1	P. Ā.	P. Ā.	saYja~^		to cling or stick or adhere to, be attached to or engaged in or occupied with (l	sajyate|sajjate|°ti|saYjayati|asasaYjat		229218
sE	सै	1	P.	P.	sE	vayohAnO	(cf. √ , ) cl. 1. P. , to waste away, decline	sA|so|sAyati		252381
sev	सेव्	1	Ā.	P. Ā.	seva~\	stamBe	to dwell or stay near or in (loc.)	sevyate|sevayati|asizevat|sisevayizu|sisevizate	voice cp=Ā. vs attested=P. Ā.	252262
sfB	सृभ्	1	P.	P.	sfBi~	hiMsAyAm	(cf. √ , ) cl. 1. P. , , to kill, slay, injure	siB|sriB|sarBati|sfmBati	attested has nasal → i~ (idit)	252034
sfmB	सृम्भ्	1	P.	P.	sfmBa~	hiMsAyAm	(cf. √ , ) cl. 1. P. , , to kill, slay, injure	siB|sriB|sarBati|sfmBati		252034.1
SI	शी	1		P. Ā.	SI^		to lie, lie down, recline, rest, repose, &c. &c.	patye|madanena-√ SI|Sayyate|aSAyi|SIyat		218170
siD	सिध्	1	P.	P.	siDa~	gatO	to go, move,; (accord. to the of this root is not changed to after prepositions;	seDati|s|z|aBi-|pari-√ siD		244297
siD	सिध्	1	P.	P. Ā.	siDa~		to drive off, scare away, repel, restrain, hinder	siDyate|aseDi|seDayati|asIziDat|sizeDayizati	voice cp=P. vs attested=P. Ā.	244298
SiNG	शिङ्घ्	1	P.	P.	SiNGa~		(also written , prob. for orig. ) cl. 1. P. , to smell, (cf. ).	SiMh|SiNK|SiNGati|upa-√ SiNG		216828
SiNK	शिङ्ख्	1	P.	P.	SiNKa~	gatO	to go, move	SiNKati		216813
siw	सिट्	1	P.	P.	siwa~	anAdare	(cf. √ ) cl. 1. P. , to despise	Siw|sewati		244057
SiYj	शिञ्ज्	1		Ā.	SiYja~\	BAzAyAm	() (accord. to also cl. 1. 10. Ā. , ; pr. p. , or; pf. Gr.; aor. ,; fut. , ,), t	SiNkte|SiYjate|SiYjayate|SiYjAna|SiYjat		216845
skamB	स्कम्भ्	1	Ā.	P.	skamBa~\		to also cl. 1. Ā. ; pr. p. , ; , ; pf. , 2. du. , ; p. , ; aor. Gr.; fut. , , ; 	skamBayati|acaskamBat|skamBita|skaBAyati|skaBita	voice cp=Ā. vs attested=P.	254241
skund	स्कुन्द्	1	Ā.		skunda~\		to jump (, or )	udDaraRe|pra-skunda		254259
SlaNg	श्लङ्ग्	1	P.	P.	SlaNga~	gatO	(cf. √ ) cl. 1. P. , to go, move	SraNg|SlaNgati		223993
SlaNk	श्लङ्क्	1	Ā.	Ā.	SlaNka~\	gatO	(cf. √ ) cl. 1. Ā. , to go, move	SraNk|SlaNkate		223992
smi	स्मि	1	Ā.	P. Ā.	smi\	dIptO	to smile, blush, become red or radiant, shine	smIyate|asmAyi|smAyayati|°te|asismayat	voice cp=Ā. vs attested=P. Ā.	257075
SnaT	श्नथ्	1	P.	P. Ā.	SnaTa~	hiMsAyAm	to pierce, strike, injure, kill	SnaTayati|°te|aSiSnat|SiSnaTat|SiSnaTizati	voice cp=P. vs attested=P. Ā.	221953
snE	स्नै	1	P.	P.	snE	saMvaraRe	(v.l. ) cl. 1. P. , to clothe, wrap round, envelop, adorn	stE|snAyati		256486
snih	स्निह्	1	P.	P. Ā.	sniha~		to be adhesive or sticky or glutinous or viscid or moist	snehati|snihyate|asnehi|snehayati|asizRihat	voice cp=P. vs attested=P. Ā.	256298
snuc	स्नुच्	1	Ā.	Ā.	snuca~\		(prob. for √ ) cl. 1. Ā. , to be bright or clear	stuc|snocate		256467
sPal	स्फल्	1	P.	P.	sPala~	viloqane	to quiver, shake, vibrate, burst, break &c.	sPAlayati|A-√ sPal		256804
spand	स्पन्द्	1	Ā.	P. Ā.	spanda~\	kampane	to quiver, throb, twitch, tremble, vibrate, quake, palpitate, throb with life, q	spandayati|apaspandat|pispandizate|panizpada	voice cp=Ā. vs attested=P. Ā.	256488
sparz	स्पर्ष्	1	Ā.		sparza~\	darSane	See √ .	parz		256549
spfD	स्पृध्	1	P. Ā.	P. Ā.	spfDa~^		to emulate, compete, rival, vie or cope with (instr. with and without , or acc.)	saha|sparDayati|pisparDizate|pAsparDyate|pAspardDi		256521.1
sPUrC	स्फूर्छ्	1	P.		sPUrCa~	vyAptO	to spread, extend			257027
sPuRq	स्फुण्ड्	1	Ā.	P.	sPuRqa~\		to open, expand	sPuRqayati	voice cp=Ā. vs attested=P.	256964
sPuRw	स्फुण्ट्	1	P.	P.	sPuRwa~		to open, expand	sPuRwayati		256963
SramB	श्रम्भ्	1	Ā.		SramBa~\		to be careless or negligent			222476
sraMh	स्रंह्	1	Ā.	Ā.	sraMha~\		to confide, trust, ()	sraMhate		257563
SraNg	श्रङ्ग्	1	P.	P.	SraNga~	gatO	(also written , , ) cl. 1. P. &c., to go, move,-	SlaNj|SvaNg|svaNg|SraNgati|SvaNgati		222319
SraNk	श्रङ्क्	1	Ā.	Ā.	SraNka~\	gatO	(also written , ) cl. 1. Ā. &c., to go, move, creep,-	SlaNk|sraNk|SraNkate|SvaNkate		222318
sras	स्रस्	1	Ā.	P. Ā.	srasi~\	patane	to fall, drop, fall down, slip off, get loose from (abl.), &c. &c.	srasyate|asraMsi|sraMsayati|asisrasat|sraMsyate	attested has nasal → i~ (idit); voice cp=Ā. vs attested=P. Ā.	257528.1
sriB	स्रिभ्	1	P.	P.	sriBi~	hiMsAyAm	or , to hurt, injure, kill,;	sreBati|srimBati	attested has nasal → i~ (idit)	257616
sriD	स्रिध्	1	P.	P.	sriDa~		(aor. , p. ; cf. , ), to fail, err, blunder	sreDati|sriDat|-sriDAna|a-sreDat|a-sriDAna		257614
srimB	स्रिम्भ्	1	P.	P.	srimBa~	hiMsAyAm	or , to hurt, injure, kill,;	sreBati|srimBati		257616.1
sTA	स्था	1	P. Ā.	P. Ā.	sTA^	grahaRe	to stand, stand firmly, station one's self, stand upon, get upon, take up a posi	pAdAByAm|jAnuByAm|agre|agratas|puras		255316
staB	स्तभ्	1	Ā.	P. Ā.	staBi~\	DAraRe	to fix firmly, support, sustain, prop (esp. the heavens)	staByate|astamBi|staBAyati|stamBayati|°te	attested has nasal → i~ (idit); voice cp=Ā. vs attested=P. Ā.	254463.1
sTag	स्थग्	1	P.	P.	sTaga~	saMvaraRe	to cover, hide, conceal	sTagayati		255154
stak	स्तक्	1	P.	P.	staka~	hiMsAyAm	to strike against	stakati		254306
sTal	स्थल्	1	P.	P.	sTala~		(connected with √ ) cl. 1. P. , to stand firm, be firm	sTA|sTalati		255204
stam	स्तम्	1	P.	P.	stama~		to be disturbed	samayati|stamayati		232986.1
stamB	स्तम्भ्	1	Ā.	P. Ā.	stamBa~\	DAraRe	to fix firmly, support, sustain, prop (esp. the heavens)	staByate|astamBi|staBAyati|stamBayati|°te	voice cp=Ā. vs attested=P. Ā.	254463
stan	स्तन्	1	P.	P. Ā.	stana~	Sabde	to resound, reverberate, roar, thunder, &c. &c.	stanayati|atizwanat|stanayati|tistanizati|taMstanyate	voice cp=P. vs attested=P. Ā.	254307
stE	स्तै	1	P.		stE		to put on, adorn (v.l. for √ , q.v.)	stAyat		254884
step	स्तेप्	1	Ā.	P.	stepa~\	kzaraRe	to flow	stepayati	voice cp=Ā. vs attested=P.	254882
stfkz	स्तृक्ष्	1	P.	P.	stfkza~	gatO	(cf. √ ) cl. 1. P. , to go	tfkz|stfkzati		254868
stip	स्तिप्	1	Ā.	Ā.	stipa~\	kzaraRe	(cf. ) cl. 1. Ā. , to ooze, drip, drop	step|stepate		254591
sTir	स्थिर्	1	P.	P.	sTira~		to stand firmly (in an etymol. explanation)	sTirati		255900
